<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
EURJPY,20011015,00:00:00,110.2200,109.5300,110.6200,109.7300
EURJPY,20011016,00:00:00,109.7200,109.3300,110.3900,110.1200
EURJPY,20011017,00:00:00,110.1100,109.3300,110.4900,109.4500
EURJPY,20011018,00:00:00,109.4400,108.9500,109.7300,109.3800
EURJPY,20011019,00:00:00,109.3800,108.5300,109.5100,108.8600
EURJPY,20011022,00:00:00,108.8600,108.6100,109.4500,109.0900
EURJPY,20011023,00:00:00,109.0900,108.7900,109.5100,109.2000
EURJPY,20011024,00:00:00,109.2000,109.0700,109.8200,109.7300
EURJPY,20011025,00:00:00,109.7300,109.3500,110.1100,109.6500
EURJPY,20011026,00:00:00,109.6500,109.1800,109.9400,109.5200
EURJPY,20011029,00:00:00,109.4600,109.2300,110.4300,110.3900
EURJPY,20011030,00:00:00,110.3900,110.1700,110.6700,110.4300
EURJPY,20011031,00:00:00,110.4300,110.0500,110.7500,110.2200
EURJPY,20011101,00:00:00,110.2300,109.9900,110.7700,110.0700
EURJPY,20011102,00:00:00,110.0600,109.5300,110.2900,109.8600
EURJPY,20011105,00:00:00,109.6700,109.0000,109.6900,109.1600
EURJPY,20011106,00:00:00,109.1600,108.3300,109.2800,108.4200
EURJPY,20011107,00:00:00,108.4100,108.1300,109.4400,108.6400
EURJPY,20011108,00:00:00,108.6400,106.8400,108.8300,107.1000
EURJPY,20011109,00:00:00,107.1000,106.9500,107.6300,107.5400
EURJPY,20011112,00:00:00,107.6700,107.5000,108.0700,107.6300
EURJPY,20011113,00:00:00,107.6300,106.8400,107.8300,107.0300
EURJPY,20011114,00:00:00,107.0200,106.9100,107.4700,107.2800
EURJPY,20011115,00:00:00,107.2800,107.2400,108.1300,107.8800
EURJPY,20011116,00:00:00,107.8800,107.7800,108.7600,108.6500
EURJPY,20011119,00:00:00,108.6200,108.0800,108.7700,108.0900
EURJPY,20011120,00:00:00,108.1000,108.1000,108.7000,108.2600
EURJPY,20011121,00:00:00,108.2600,107.7600,108.6800,108.1500
EURJPY,20011122,00:00:00,108.1600,107.9100,108.9400,108.8400
EURJPY,20011123,00:00:00,108.8400,108.7100,109.2800,109.0700
EURJPY,20011126,00:00:00,109.2400,109.0000,109.4500,109.2300
EURJPY,20011127,00:00:00,109.2200,108.7000,109.7800,109.4200
EURJPY,20011128,00:00:00,109.4300,108.8400,109.4900,109.2500
EURJPY,20011129,00:00:00,109.2500,109.0300,109.9800,109.9400
EURJPY,20011130,00:00:00,109.9300,109.7100,110.6900,110.6000
EURJPY,20011203,00:00:00,110.4700,110.0900,110.7700,110.5800
EURJPY,20011204,00:00:00,110.5900,110.1200,110.7100,110.5300
EURJPY,20011205,00:00:00,110.5400,110.0600,110.9700,110.2200
EURJPY,20011206,00:00:00,110.2100,109.8900,111.6600,111.4200
EURJPY,20011207,00:00:00,111.4300,111.2600,112.0400,111.5700
EURJPY,20011210,00:00:00,111.7100,111.5600,112.2700,112.1900
EURJPY,20011211,00:00:00,112.2000,112.1000,112.5600,112.4400
EURJPY,20011212,00:00:00,112.4300,112.2200,113.5800,113.0500
EURJPY,20011213,00:00:00,113.0400,112.4100,113.6100,112.4600
EURJPY,20011214,00:00:00,112.4700,112.4300,115.4600,115.1700
EURJPY,20011217,00:00:00,114.9900,114.8900,115.9100,115.0200
EURJPY,20011218,00:00:00,115.0300,114.9100,115.9300,115.5500
EURJPY,20011219,00:00:00,115.5600,114.4100,115.8500,115.4800
EURJPY,20011220,00:00:00,115.4700,114.8300,115.8500,115.8400
EURJPY,20011221,00:00:00,115.8300,114.5400,116.6300,115.1200
EURJPY,20011224,00:00:00,115.1400,113.4900,115.2800,114.1300
EURJPY,20011227,00:00:00,115.4500,115.3500,116.4800,116.3000
EURJPY,20011228,00:00:00,116.3100,115.0600,116.5000,115.8400
EURJPY,20020102,00:00:00,117.0800,117.0400,119.6700,119.3400
EURJPY,20020103,00:00:00,119.3300,118.2200,119.5100,118.5000
EURJPY,20020104,00:00:00,118.4900,117.0400,118.5500,117.1700
EURJPY,20020107,00:00:00,117.1700,116.5600,117.5500,117.1300
EURJPY,20020108,00:00:00,117.1400,117.1100,118.7100,118.6700
EURJPY,20020109,00:00:00,118.6600,117.5800,119.0600,118.6500
EURJPY,20020110,00:00:00,118.6500,117.7100,118.7700,117.8700
EURJPY,20020111,00:00:00,117.8800,117.3100,118.2000,117.8300
EURJPY,20020114,00:00:00,118.0700,117.4200,118.1500,117.8600
EURJPY,20020115,00:00:00,117.8700,115.6600,117.9000,115.8400
EURJPY,20020116,00:00:00,115.8500,115.6500,116.8400,116.8400
EURJPY,20020117,00:00:00,116.8300,115.9900,116.9800,116.7800
EURJPY,20020118,00:00:00,116.7700,116.7000,117.3800,117.1600
EURJPY,20020121,00:00:00,117.2400,116.9400,117.4000,117.3300
