ticker,date,time,open,low,high,close
EURCHF,20090122,00:00:00,1.5034,1.4923,1.5106,1.5000
EURCHF,20090123,00:00:00,1.5001,1.4893,1.5032,1.5008
EURCHF,20090126,00:00:00,1.4941,1.4934,1.5088,1.4995
EURCHF,20090127,00:00:00,1.4994,1.4962,1.5085,1.5047
EURCHF,20090128,00:00:00,1.5046,1.5039,1.5191,1.5161
EURCHF,20090129,00:00:00,1.5160,1.4892,1.5166,1.4936
EURCHF,20090130,00:00:00,1.4937,1.4823,1.4989,1.4846
EURCHF,20090202,00:00:00,1.4839,1.4813,1.4936,1.4900
EURCHF,20090203,00:00:00,1.4900,1.4822,1.4968,1.4891
EURCHF,20090204,00:00:00,1.4891,1.4859,1.4938,1.4882
EURCHF,20090205,00:00:00,1.4883,1.4870,1.5002,1.4984
EURCHF,20090206,00:00:00,1.4985,1.4957,1.5079,1.5038
EURCHF,20090209,00:00:00,1.5041,1.4987,1.5148,1.5133
EURCHF,20090210,00:00:00,1.5134,1.4901,1.5144,1.4922
EURCHF,20090211,00:00:00,1.4921,1.4917,1.5009,1.4945
EURCHF,20090212,00:00:00,1.4946,1.4872,1.4972,1.4965
EURCHF,20090213,00:00:00,1.4964,1.4906,1.4984,1.4951
EURCHF,20090216,00:00:00,1.4880,1.4826,1.4924,1.4843
EURCHF,20090217,00:00:00,1.4844,1.4705,1.4862,1.4714
EURCHF,20090218,00:00:00,1.4715,1.4697,1.4839,1.4755
EURCHF,20090219,00:00:00,1.4756,1.4752,1.4943,1.4873
EURCHF,20090220,00:00:00,1.4872,1.4757,1.4987,1.4796
EURCHF,20090223,00:00:00,1.4840,1.4795,1.4930,1.4843
EURCHF,20090224,00:00:00,1.4842,1.4767,1.4917,1.4905
EURCHF,20090225,00:00:00,1.4906,1.4797,1.4923,1.4879
EURCHF,20090226,00:00:00,1.4880,1.4818,1.4904,1.4830
EURCHF,20090227,00:00:00,1.4829,1.4765,1.4876,1.4827
EURCHF,20090302,00:00:00,1.4784,1.4698,1.4820,1.4777
EURCHF,20090303,00:00:00,1.4778,1.4736,1.4859,1.4762
EURCHF,20090304,00:00:00,1.4762,1.4723,1.4831,1.4773
EURCHF,20090305,00:00:00,1.4774,1.4673,1.4797,1.4679
EURCHF,20090306,00:00:00,1.4680,1.4578,1.4695,1.4652
EURCHF,20090309,00:00:00,1.4674,1.4597,1.4711,1.4603
EURCHF,20090310,00:00:00,1.4604,1.4586,1.4733,1.4729
EURCHF,20090311,00:00:00,1.4728,1.4720,1.4819,1.4800
EURCHF,20090312,00:00:00,1.4799,1.4748,1.5336,1.5308
EURCHF,20090313,00:00:00,1.5310,1.5263,1.5398,1.5319
EURCHF,20090316,00:00:00,1.5296,1.5292,1.5445,1.5375
EURCHF,20090317,00:00:00,1.5374,1.5315,1.5440,1.5387
EURCHF,20090318,00:00:00,1.5387,1.5270,1.5426,1.5382
EURCHF,20090319,00:00:00,1.5383,1.5322,1.5419,1.5346
EURCHF,20090320,00:00:00,1.5347,1.5227,1.5352,1.5307
EURCHF,20090323,00:00:00,1.5344,1.5285,1.5372,1.5321
EURCHF,20090324,00:00:00,1.5320,1.5202,1.5357,1.5237
EURCHF,20090325,00:00:00,1.5238,1.5187,1.5250,1.5222
EURCHF,20090326,00:00:00,1.5223,1.5203,1.5296,1.5242
EURCHF,20090327,00:00:00,1.5243,1.5174,1.5297,1.5201
EURCHF,20090330,00:00:00,1.5199,1.5126,1.5212,1.5162
EURCHF,20090331,00:00:00,1.5163,1.5089,1.5191,1.5094
EURCHF,20090401,00:00:00,1.5093,1.5059,1.5181,1.5166
EURCHF,20090402,00:00:00,1.5167,1.5164,1.5282,1.5265
EURCHF,20090403,00:00:00,1.5265,1.5206,1.5281,1.5250
EURCHF,20090406,00:00:00,1.5264,1.5213,1.5296,1.5231
EURCHF,20090407,00:00:00,1.5230,1.5151,1.5240,1.5160
EURCHF,20090408,00:00:00,1.5159,1.5114,1.5240,1.5217
EURCHF,20090409,00:00:00,1.5218,1.5205,1.5267,1.5218
EURCHF,20090410,00:00:00,1.5215,1.5203,1.5236,1.5216
